year,sfo
1990,1.060309275
1991,2.003732668
1993,2.419195681
1994,3.905196041
1995,3.855485758
1996,1.872063201
1997,2.904426225
1998,1.944165983
1999,4.476411128
2000,4.16656145
2001,4.296440774
2002,5.64732458
2003,3.774500553
2004,4.145355289
2005,4.742860073
2006,5.148683946
2007,3.435001481
2008,3.075818937
2009,4.00404981
2010,3.941419249
2011,4.315739502
2012,6.327143958
2013,3.630562175
