year,sjc
1990,4.064958029
1991,2.610398086
1993,4.812429819
1994,4.374619598
1995,3.451714351
1996,5.685999063
1997,6.673117347
1998,3.534363654
1999,3.66177413
2000,2.028015587
2001,3.38854401
2002,2.90373359
2003,6.216604254
2004,6.17020964
2005,6.15488775
2006,12.3298861
2007,9.16660301
2008,7.948599059
2009,11.64499933
2010,15.60806417
2011,12.16410483
2012,14.34262948
2013,26.53916171
